,Distance_1,Distance_2,Distance_3,Distance_4,Constraint_Violation,Redundancy,y-Nearest-Neighbours,Success_Rate,Average_Time
euclidean,2.0,0.44682690863184593,0.10185130903327685,0.25522670544285797,1,2,0.8490566037735849,0.265,0.3477574129100003
manhattan,2.0,0.4276480455993668,0.11355278621020101,0.318970018343313,1,2,0.875,0.24,0.353917531080001
cosine,3.0,0.7655321031039566,0.44311273617523667,0.6615815238108793,1,1,0.8346153846153845,0.26,0.34266291546500044
correlation,2.0,0.676181421258998,0.22882990866571157,0.3485609407557263,1,2,0.904,0.25,0.3510705084450001
dice,2.0,3.1113673678608946,5.566588740387904,2.158296864790727,0,2,0.7777777777777778,0.27,0.3473116858399999
GrowingSpheres,4.0,1.0000995284492527,1.0000000033585856,1.0,0,3,0.4,0.035,0.06923148396999977
DiceResource,1.0,0.6922757615384616,0.47924573001365695,0.6922757615384616,1,1,0.979,1.0,0.10969756523499882
hammingxspeed,2.0,1.7543278042600172,1.5690104362797386,1.0,0,1,0.7373134328358208,0.335,0.03705725979999897
euclideanxspeed,2.0,0.4462956371483743,0.10157987062547603,0.25469122324647453,1,2,0.8782608695652174,0.23,0.03739944387499918
manhattanxspeed,2.0,0.4398962565747524,0.11716242229102744,0.3209631371147461,1,2,0.8956521739130434,0.23,0.036548929030000184
cosinexspeed,3.0,0.31962721980534414,0.049102718734815615,0.18281486121292384,1,3,0.8367346938775511,0.245,0.037400451925000196
correlationxspeed,2.0,0.6731792349344992,0.22688586867210725,0.348851907192428,1,2,0.8888888888888888,0.225,0.039018639824998896
CCHVAE,2.0,0.6731792349344992,0.22688586867210725,0.348851907192428,1,2,0.8888888888888888,0.225,0.039018639824998896
CRUD,4.0,0.9005034930430926,0.4991553626820554,0.6786568760871887,1,4,1.0,1.0,4.833998511904997
Wachter,2.0,1.525936215926449e-09,2.0616008017021578e-18,1.4328039588118457e-09,0,2,0.957,1.0,0.002455064999999195
Revise,5.0,1.9912706531011142,1.2692989463209057,1.0,2,3,0.995,1.0,12.191960805169996
